;Enzyme_ID;Flux_FBA;Flux;Concentration;Kapp;Comment;Pseudo complex members;Taken from
R_EHGLAT;R_EHGLAT_enzyme;;;;143677.3442841348;twinenzyme;;R_ASPTA_enzyme , R_TYRTAi_duplicate_3_enzyme
R_EHGLATp;R_EHGLATp_enzyme;;;;143677.3442841348;twinenzyme;;R_ASPTA_enzyme , R_TYRTAi_duplicate_3_enzyme
R_ENO;R_ENO_enzyme;;1.0;;0.0;isoenzyme;;R_ENO
R_ENO_duplicate_2;R_ENO_duplicate_2_enzyme;16.501221737771004;1.0;3.473722967085573e-05;475029.871239715;estimated;R_ENO_duplicate_2_enzyme , R_ENO_duplicate_4_enzyme;
R_ENO_duplicate_3;R_ENO_duplicate_3_enzyme;;1.0;;0.0;isoenzyme;;R_ENO
R_ENO_duplicate_4;R_ENO_duplicate_4_enzyme;16.501221737771004;1.0;3.473722967085573e-05;475029.871239715;estimated;R_ENO_duplicate_2_enzyme , R_ENO_duplicate_4_enzyme;
R_ENO_duplicate_5;R_ENO_duplicate_5_enzyme;;1.0;;0.0;isoenzyme;;R_ENO
R_FACOAL140;R_FACOAL140_enzyme;;-1.0;;0.0;isoenzyme;;R_FACOAL140
R_FACOAL140_duplicate_2;R_FACOAL140_duplicate_2_enzyme;0.01109033111373846;-1.0;1.5760959236720744e-06;7036.583844401805;estimated;R_FACOAL140_duplicate_2_enzyme , R_FACOAL140_duplicate_3_enzyme;
R_FACOAL140_duplicate_3;R_FACOAL140_duplicate_3_enzyme;0.01109033111373846;-1.0;1.5760959236720744e-06;7036.583844401805;estimated;R_FACOAL140_duplicate_2_enzyme , R_FACOAL140_duplicate_3_enzyme;
R_FACOAL141_duplicate_2;R_FACOAL141_duplicate_2_enzyme;;;;7036.583844401805;twinenzyme;;R_FACOAL140_duplicate_2_enzyme
R_FACOAL160_duplicate_2;R_FACOAL160_duplicate_2_enzyme;;;;7036.583844401805;twinenzyme;;R_FACOAL140_duplicate_2_enzyme
R_FACOAL161_duplicate_2;R_FACOAL161_duplicate_2_enzyme;;;;7036.583844401805;twinenzyme;;R_FACOAL140_duplicate_2_enzyme
R_FACOAL180_duplicate_2;R_FACOAL180_duplicate_2_enzyme;;;;7036.583844401805;twinenzyme;;R_FACOAL140_duplicate_2_enzyme
R_FACOAL181_duplicate_2;R_FACOAL181_duplicate_2_enzyme;;;;7036.583844401805;twinenzyme;;R_FACOAL140_duplicate_2_enzyme
R_FACOAL182;R_FACOAL182_enzyme;;;;7036.583844401805;twinenzyme;;R_FACOAL140_duplicate_3_enzyme
R_FAS100;R_FAS100_enzyme;;;;11346.05874279666;twinenzyme;;R_FAS100COA_enzyme , R_FAS120_enzyme , R_FAS120COA_enzyme , R_FAS140_enzyme , R_FAS140COA_enzyme , R_FAS160COA_enzyme , R_FAS180COA_enzyme , R_FAS80COA_L_enzyme
R_FAS100COA;R_FAS100COA_enzyme;0.1761242347948868;1.0;1.5522944027299686e-05;11346.05874279666;estimated;R_FAS100COA_enzyme;
R_FAS120;R_FAS120_enzyme;0.1761242347948868;1.0;1.5522944027299686e-05;11346.05874279666;estimated;R_FAS120_enzyme;
R_FAS120COA;R_FAS120COA_enzyme;0.1761242347948868;1.0;1.5522944027299686e-05;11346.05874279666;estimated;R_FAS120COA_enzyme;
R_FAS140;R_FAS140_enzyme;0.1761242347948868;1.0;1.5522944027299686e-05;11346.05874279666;estimated;R_FAS140_enzyme;
R_FAS140COA;R_FAS140COA_enzyme;0.1761242347948868;1.0;1.5522944027299686e-05;11346.05874279666;estimated;R_FAS140COA_enzyme;
R_FAS160;R_FAS160_enzyme;;;;11346.05874279666;twinenzyme;;R_FAS100COA_enzyme , R_FAS120_enzyme , R_FAS120COA_enzyme , R_FAS140_enzyme , R_FAS140COA_enzyme , R_FAS160COA_enzyme , R_FAS180COA_enzyme , R_FAS80COA_L_enzyme
R_FAS160COA;R_FAS160COA_enzyme;0.1761242347948868;1.0;1.5522944027299686e-05;11346.05874279666;estimated;R_FAS160COA_enzyme;
